title,link,company,location,description_summary
Desarrollador Java/Node.Js Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-javanodejs-senior-en-san-nicolas-28F97A81A22F63AD61373E686DCF3405#lc=ListOffers-Score6-0,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Back end,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-back-end-en-palermo-93FD255D473E38AC61373E686DCF3405#lc=ListOffers-Score6-1,MN CONSULTORA,"Palermo, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-C98CAD17EC04818A61373E686DCF3405#lc=ListOffers-Score6-2,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-sr-zona-microcentro-caba-en-monserrat-145B8B7CD51DC85661373E686DCF3405#lc=ListOffers-Score6-3,SOLUTIX S.A. [Soluciones de RR.HH],"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 18664: Desarrolladores FullStack PHP,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-18664-desarrolladores-fullstack-php-remoto-en-recoleta-D50F4FCC26C3F57361373E686DCF3405#lc=ListOffers-Score6-4,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Ref. 20057: Full Stack Developer NextJS y NodeJS /,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20057-full-stack-developer-nextjs-y-nodejs--villa-urquiza-caba-hibrido-3-al-mes-en-villa-urquiza-8675732F6C41550C61373E686DCF3405#lc=ListOffers-Score6-5,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
Ref. 19493: Desarrollador Full Stack Jr .Net,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-19493-desarrollador-full-stack-jr-net-hibrido-caba-centro-en-balvanera-B4A2BBF8BDD5924861373E686DCF3405#lc=ListOffers-Score6-6,ADN - Recursos Humanos,"Balvanera, Capital Federal",N/A (Not in list view)
Analista Programador Genexus,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-genexus-en-retiro-29EFA8C3675B2F2A61373E686DCF3405#lc=ListOffers-Score6-7,Randstad Argentina,"Retiro, Capital Federal",N/A (Not in list view)
Analista Programador Crm Siebel,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-crm-siebel-en-retiro-B8A70C59A0F47B3B61373E686DCF3405#lc=ListOffers-Score6-8,Randstad Argentina,"Retiro, Capital Federal",N/A (Not in list view)
Desarrollador Node.js/AWS Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-nodejsaws-semi-senior-en-san-nicolas-E61B8D7D38C227F861373E686DCF3405#lc=ListOffers-Score6-9,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-A4B5A41EAD3A40F461373E686DCF3405#lc=ListOffers-Score6-10,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-481718BB14C9564261373E686DCF3405#lc=ListOffers-Score6-11,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Java + Node Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-node-senior-en-san-nicolas-38A4AA9D26932CB161373E686DCF3405#lc=ListOffers-Score6-12,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador React Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-semi-senior-en-san-nicolas-8C1CABA1ABC1B3DE61373E686DCF3405#lc=ListOffers-Score6-13,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador IOS – Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-ios-senior-en-san-nicolas-1CB325DF65229A3C61373E686DCF3405#lc=ListOffers-Score6-14,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador BI Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-bi-ssr-en-retiro-FC88502193CC93B061373E686DCF3405#lc=ListOffers-Score6-15,Ecosistemas,"Retiro, Capital Federal",N/A (Not in list view)
Desarrollador SailPoint IdentityNow,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-sailpoint-identitynow-en-san-nicolas-BB6DA148C831F85F61373E686DCF3405#lc=ListOffers-Score6-16,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
SailPoint IdentityNow Developer,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-sailpoint-identitynow-developer-en-san-nicolas-448C96CC76BF459C61373E686DCF3405#lc=ListOffers-Score6-17,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Node/AWS,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-nodeaws-en-san-nicolas-A81BBDC415B0A0A261373E686DCF3405#lc=ListOffers-Score6-18,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador .net,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-en-san-nicolas-E9931A2410218D7861373E686DCF3405#lc=ListOffers-Score6-19,Provincia NET,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Java Senior (+4 años de experiencia),https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-senior-4-anos-de-experiencia-en-san-nicolas-E0CD769D0649394D61373E686DCF3405#lc=ListOffers-Score6-0,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Openshift,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-openshift-en-retiro-BC6A96741854D4DC61373E686DCF3405#lc=ListOffers-Score6-1,AMERICA VIRTUAL S.A.,"Retiro, Capital Federal",N/A (Not in list view)
Desarrollador Power Builder con sólida experiencia,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador--power-builder-con-solida-experiencia-en-balvanera-A766E34478DF509A61373E686DCF3405#lc=ListOffers-Score6-2,Infomedical S.A.,"Balvanera, Capital Federal",N/A (Not in list view)
Programador Fiori front y backend Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-fiori-front-y-backend-semi-senior-en-san-nicolas-0AD221DB29B9333461373E686DCF3405#lc=ListOffers-Score6-3,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-B5D8F68E8722556761373E686DCF3405#lc=ListOffers-Score6-4,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-26A99A6CCACA439761373E686DCF3405#lc=ListOffers-Score6-5,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-35D3CCBC67B723B761373E686DCF3405#lc=ListOffers-Score6-6,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Frontend con experiencia en Diseño UX/UI,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-frontend-con-experiencia-en-diseno-uxui-en-san-nicolas-9125211CC60A940761373E686DCF3405#lc=ListOffers-Score6-7,INTEC Software,"San Nicolás, Capital Federal",N/A (Not in list view)
Analista Programador Genexus,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-genexus-en-retiro-8EC429B5209F67E761373E686DCF3405#lc=ListOffers-Score6-8,Randstad Argentina,"Retiro, Capital Federal",N/A (Not in list view)
Analista Programador Crm Siebel,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-crm-siebel-en-retiro-D25866DD4A188DB861373E686DCF3405#lc=ListOffers-Score6-9,Randstad Argentina,"Retiro, Capital Federal",N/A (Not in list view)
Ref. 19592: Desarrollador Fullstack Jr/SSr Node JS / Remoto,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-19592-desarrollador-fullstack-jrssr-node-js--remoto-en-recoleta-0323B03A1AAB678761373E686DCF3405#lc=ListOffers-Score6-10,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Ref. 20056: Desarrollador Full Stack .Net y React Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20056-desarrollador-full-stack-net-y-react-ssr-hibrido-villa-urquiza-en-villa-urquiza-90D6057BF4DB1BC261373E686DCF3405#lc=ListOffers-Score6-11,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
